SampleID	Stage	Reads
SNG23MAD107_S11_L001	Input	239833
SNG23MAD107_S11_L001	No Dimers	223461
SNG23MAD107_S11_L001	Amplicons	188920
SNG23MAD107_S11_L001	OutputDada2	184503
SNG23MAD107_S11_L001	OutputPostprocessing	166423
SNG23MAD110_S13_L001	Input	219734
SNG23MAD110_S13_L001	No Dimers	210630
SNG23MAD110_S13_L001	Amplicons	180258
SNG23MAD110_S13_L001	OutputDada2	176073
SNG23MAD110_S13_L001	OutputPostprocessing	153119
SNG23MAD111_S22_L001	Input	159096
SNG23MAD111_S22_L001	No Dimers	148256
SNG23MAD111_S22_L001	Amplicons	121390
SNG23MAD111_S22_L001	OutputDada2	118574
SNG23MAD111_S22_L001	OutputPostprocessing	110863
SNG23MAD113_S18_L001	Input	291390
SNG23MAD113_S18_L001	No Dimers	274144
SNG23MAD113_S18_L001	Amplicons	228143
SNG23MAD113_S18_L001	OutputDada2	223070
SNG23MAD113_S18_L001	OutputPostprocessing	202318
SNG23MAD117_S20_L001	Input	172746
SNG23MAD117_S20_L001	No Dimers	160607
SNG23MAD117_S20_L001	Amplicons	137130
SNG23MAD117_S20_L001	OutputDada2	133282
SNG23MAD117_S20_L001	OutputPostprocessing	124624
SNG23MAD130_S15_L001	Input	124308
SNG23MAD130_S15_L001	No Dimers	110973
SNG23MAD130_S15_L001	Amplicons	93774
SNG23MAD130_S15_L001	OutputDada2	91646
SNG23MAD130_S15_L001	OutputPostprocessing	85952
SNG23MAD135_S23_L001	Input	151161
SNG23MAD135_S23_L001	No Dimers	135388
SNG23MAD135_S23_L001	Amplicons	115520
SNG23MAD135_S23_L001	OutputDada2	112918
SNG23MAD135_S23_L001	OutputPostprocessing	107261
SNG23MAD146_S25_L001	Input	186039
SNG23MAD146_S25_L001	No Dimers	132732
SNG23MAD146_S25_L001	Amplicons	112505
SNG23MAD146_S25_L001	OutputDada2	109382
SNG23MAD146_S25_L001	OutputPostprocessing	103311
SNG23MAD148_S21_L001	Input	174493
SNG23MAD148_S21_L001	No Dimers	163839
SNG23MAD148_S21_L001	Amplicons	136474
SNG23MAD148_S21_L001	OutputDada2	133439
SNG23MAD148_S21_L001	OutputPostprocessing	117916
SNG23MAD158_S12_L001	Input	199956
SNG23MAD158_S12_L001	No Dimers	191320
SNG23MAD158_S12_L001	Amplicons	158084
SNG23MAD158_S12_L001	OutputDada2	154268
SNG23MAD158_S12_L001	OutputPostprocessing	142866
SNG23MAD164_S17_L001	Input	275890
SNG23MAD164_S17_L001	No Dimers	258279
SNG23MAD164_S17_L001	Amplicons	221324
SNG23MAD164_S17_L001	OutputDada2	215033
SNG23MAD164_S17_L001	OutputPostprocessing	204038
SNG23MAD168_S2_L001	Input	431782
SNG23MAD168_S2_L001	No Dimers	404079
SNG23MAD168_S2_L001	Amplicons	341102
SNG23MAD168_S2_L001	OutputDada2	332812
SNG23MAD168_S2_L001	OutputPostprocessing	314178
SNG23MAD170_S7_L001	Input	230962
SNG23MAD170_S7_L001	No Dimers	214158
SNG23MAD170_S7_L001	Amplicons	187140
SNG23MAD170_S7_L001	OutputDada2	182687
SNG23MAD170_S7_L001	OutputPostprocessing	174961
SNG23MAD171_S8_L001	Input	309921
SNG23MAD171_S8_L001	No Dimers	298105
SNG23MAD171_S8_L001	Amplicons	253666
SNG23MAD171_S8_L001	OutputDada2	247546
SNG23MAD171_S8_L001	OutputPostprocessing	229591
SNG23MAD173_S5_L001	Input	317311
SNG23MAD173_S5_L001	No Dimers	303237
SNG23MAD173_S5_L001	Amplicons	258301
SNG23MAD173_S5_L001	OutputDada2	251798
SNG23MAD173_S5_L001	OutputPostprocessing	239828
SNG23MAD189_S19_L001	Input	160337
SNG23MAD189_S19_L001	No Dimers	150384
SNG23MAD189_S19_L001	Amplicons	128098
SNG23MAD189_S19_L001	OutputDada2	125206
SNG23MAD189_S19_L001	OutputPostprocessing	108067
SNG23MAD192_S9_L001	Input	262067
SNG23MAD192_S9_L001	No Dimers	247207
SNG23MAD192_S9_L001	Amplicons	212958
SNG23MAD192_S9_L001	OutputDada2	207754
SNG23MAD192_S9_L001	OutputPostprocessing	198256
SNG23MAD197_S6_L001	Input	266327
SNG23MAD197_S6_L001	No Dimers	248716
SNG23MAD197_S6_L001	Amplicons	205709
SNG23MAD197_S6_L001	OutputDada2	200850
SNG23MAD197_S6_L001	OutputPostprocessing	186671
SNG23MAD205_S3_L001	Input	393712
SNG23MAD205_S3_L001	No Dimers	381578
SNG23MAD205_S3_L001	Amplicons	311771
SNG23MAD205_S3_L001	OutputDada2	304170
SNG23MAD205_S3_L001	OutputPostprocessing	291202
SNG23MAD214_S10_L001	Input	192434
SNG23MAD214_S10_L001	No Dimers	178997
SNG23MAD214_S10_L001	Amplicons	150823
SNG23MAD214_S10_L001	OutputDada2	146917
SNG23MAD214_S10_L001	OutputPostprocessing	132066
SNG23MAD216_S16_L001	Input	217176
SNG23MAD216_S16_L001	No Dimers	199503
SNG23MAD216_S16_L001	Amplicons	172341
SNG23MAD216_S16_L001	OutputDada2	167968
SNG23MAD216_S16_L001	OutputPostprocessing	158730
SNG23MAD221_S1_L001	Input	360261
SNG23MAD221_S1_L001	No Dimers	347196
SNG23MAD221_S1_L001	Amplicons	301001
SNG23MAD221_S1_L001	OutputDada2	293688
SNG23MAD221_S1_L001	OutputPostprocessing	274019
SNG23MAD226_S14_L001	Input	176399
SNG23MAD226_S14_L001	No Dimers	169942
SNG23MAD226_S14_L001	Amplicons	144676
SNG23MAD226_S14_L001	OutputDada2	141612
SNG23MAD226_S14_L001	OutputPostprocessing	131646
