SampleID	Locus	Reads	OutputDada2	OutputPostprocessing
DC3-1_S43_L001	Pf3D7_04_v3-648065-648332-1A	46	46	46
DC3-1_S43_L001	Pf3D7_04_v3-900526-900759-1A	125	124	124
DC3-1_S43_L001	Pf3D7_04_v3-1005938-1006187-1A	79	77	77
DC3-1_S43_L001	Pf3D7_04_v3-1037644-1037891-1A	97	95	95
DC3-1_S43_L001	Pf3D7_04_v3-1113397-1113639-1A	117	115	115
DC3-1_S43_L001	Pf3D7_05_v3-213027-213251-1A	128	127	127
DC3-1_S43_L001	Pf3D7_05_v3-350808-351052-1A	91	90	90
DC3-1_S43_L001	Pf3D7_05_v3-369676-369949-1A	52	48	48
DC3-1_S43_L001	Pf3D7_05_v3-395887-396136-1A	77	77	77
DC3-1_S43_L001	Pf3D7_05_v3-550803-551072-1A	67	64	64
DC3-1_S43_L001	Pf3D7_05_v3-641131-641404-1A	50	50	50
DC3-1_S43_L001	Pf3D7_05_v3-668763-669004-1A	165	159	159
DC3-1_S43_L001	Pf3D7_05_v3-796518-796759-1A	96	96	96
DC3-1_S43_L001	Pf3D7_05_v3-1188456-1188706-1A	84	84	84
DC3-1_S43_L001	Pf3D7_05_v3-1322099-1322341-1A	31	31	31
DC3-1_S43_L001	Pf3D7_06_v3-145285-145531-1A	141	139	139
DC3-1_S43_L001	Pf3D7_06_v3-176108-176338-1A	89	88	88
DC3-1_S43_L001	Pf3D7_06_v3-416462-416720-1A	93	92	92
DC3-1_S43_L001	Pf3D7_06_v3-532166-532407-1A	211	208	208
DC3-1_S43_L001	Pf3D7_06_v3-851492-851765-1A	74	71	71
DC3-1_S43_L001	Pf3D7_06_v3-1115900-1116168-1A	76	75	75
DC3-1_S43_L001	Pf3D7_06_v3-1128558-1128797-1A	100	100	100
DC3-1_S43_L001	Pf3D7_06_v3-1135605-1135855-1A	86	83	83
DC3-1_S43_L001	Pf3D7_06_v3-1136091-1136364-1A	46	45	45
DC3-1_S43_L001	Pf3D7_06_v3-1140900-1141174-1A	47	47	47
DC3-1_S43_L001	Pf3D7_06_v3-1192628-1192867-1A	107	106	106
DC3-1_S43_L001	Pf3D7_06_v3-1197245-1197515-1A	69	67	67
DC3-1_S43_L001	Pf3D7_06_v3-1235395-1235658-1A	44	44	44
DC3-1_S43_L001	Pf3D7_06_v3-1282656-1282930-1A	44	44	44
DC3-1_S43_L001	Pf3D7_07_v3-105172-105442-1A	56	56	56
DC3-1_S43_L001	Pf3D7_07_v3-432832-433091-1A	130	130	130
DC3-1_S43_L001	Pf3D7_07_v3-475313-475545-1A	75	74	74
DC3-1_S43_L001	Pf3D7_07_v3-627351-627625-1A	57	57	57
DC3-1_S43_L001	Pf3D7_07_v3-717260-717493-1A	165	164	164
DC3-1_S43_L001	Pf3D7_07_v3-729480-729750-1A	69	66	66
DC3-1_S43_L001	Pf3D7_07_v3-1028330-1028603-1A	51	49	49
DC3-1_S43_L001	Pf3D7_07_v3-1043981-1044225-1A	137	135	135
DC3-1_S43_L001	Pf3D7_07_v3-1066661-1066903-1A	156	152	152
DC3-1_S43_L001	Pf3D7_07_v3-1149367-1149613-1A	176	170	170
DC3-1_S43_L001	Pf3D7_08_v3-102277-102527-1A	118	114	114
DC3-1_S43_L001	Pf3D7_08_v3-336421-336651-1A	110	109	109
DC3-1_S43_L001	Pf3D7_08_v3-399693-399961-1A	86	84	84
DC3-1_S43_L001	Pf3D7_08_v3-412801-413062-1A	19	18	18
DC3-1_S43_L001	Pf3D7_08_v3-476232-476475-1A	78	77	77
DC3-1_S43_L001	Pf3D7_08_v3-585331-585590-1A	80	79	79
DC3-1_S43_L001	Pf3D7_08_v3-585703-585949-1A	111	111	111
DC3-1_S43_L001	Pf3D7_08_v3-585993-586266-1A	70	70	70
DC3-1_S43_L001	Pf3D7_08_v3-1056678-1056903-1A	331	319	319
DC3-1_S43_L001	Pf3D7_08_v3-1099719-1099977-1A	55	54	54
DC3-1_S43_L001	Pf3D7_08_v3-1176313-1176549-1A	137	135	135
DC3-1_S43_L001	Pf3D7_08_v3-1313088-1313338-1A	89	86	86
DC3-1_S43_L001	Pf3D7_08_v3-1314717-1314986-1A	47	44	44
DC3-1_S43_L001	Pf3D7_08_v3-1344618-1344845-1A	129	125	125
DC3-1_S43_L001	Pf3D7_09_v3-82006-82236-1A	177	176	176
DC3-1_S43_L001	Pf3D7_09_v3-163813-164052-1A	119	117	117
DC3-1_S43_L001	Pf3D7_09_v3-164045-164311-1A	71	71	71
DC3-1_S43_L001	Pf3D7_09_v3-202854-203106-1A	118	113	113
DC3-1_S43_L001	Pf3D7_09_v3-270915-271160-1A	119	117	117
DC3-1_S43_L001	Pf3D7_09_v3-516735-517007-1A	48	45	45
DC3-1_S43_L001	Pf3D7_09_v3-595828-596094-1A	62	62	62
DC3-1_S43_L001	Pf3D7_09_v3-685560-685825-1A	20	20	20
DC3-1_S43_L001	Pf3D7_09_v3-1015103-1015350-1A	29	28	28
DC3-1_S43_L001	Pf3D7_09_v3-1406342-1406614-1A	9	9	9
DC3-1_S43_L001	Pf3D7_10_v3-992331-992603-1A	63	61	61
DC3-1_S43_L001	Pf3D7_10_v3-992596-992869-1A	25	24	24
DC3-1_S43_L001	Pf3D7_10_v3-1386657-1386909-1A	119	117	117
DC3-1_S43_L001	Pf3D7_10_v3-1392371-1392620-1A	96	94	94
DC3-1_S43_L001	Pf3D7_10_v3-1414337-1414596-1A	68	66	66
DC3-1_S43_L001	Pf3D7_10_v3-1414599-1414832-1A	144	142	142
DC3-1_S43_L001	Pf3D7_11_v3-115913-116184-1A	38	38	38
DC3-1_S43_L001	Pf3D7_11_v3-119432-119705-1A	78	78	78
DC3-1_S43_L001	Pf3D7_11_v3-408285-408534-1A	89	85	85
DC3-1_S43_L001	Pf3D7_11_v3-408543-408771-1A	213	210	210
DC3-1_S43_L001	Pf3D7_11_v3-497277-497548-1A	44	43	43
DC3-1_S43_L001	Pf3D7_11_v3-1006693-1006917-1A	38	38	38
DC3-1_S43_L001	Pf3D7_11_v3-1018781-1019053-1A	42	42	42
DC3-1_S43_L001	Pf3D7_11_v3-1019050-1019319-1A	1	1	1
DC3-1_S43_L001	Pf3D7_11_v3-1127074-1127316-1A	126	122	122
DC3-1_S43_L001	Pf3D7_11_v3-1293919-1294168-1A	151	148	148
