SampleID	Locus	Reads	OutputDada2	OutputPostprocessing
Dd2-11_S35_L001	Pf3D7_14_v3-921176-921432-1A	1433	1375	1375
Dd2-11_S35_L001	Pf3D7_14_v3-1038300-1038538-1A	3049	2951	2951
Dd2-11_S35_L001	Pf3D7_14_v3-1166107-1166371-1A	1551	1494	1494
Dd2-11_S35_L001	Pf3D7_14_v3-1392837-1393086-1A	3435	3307	3307
Dd2-11_S35_L001	Pf3D7_14_v3-1992121-1992370-1A	970	923	923
Dd2-11_S35_L001	Pf3D7_14_v3-2004362-2004606-1A	1328	1265	1265
Dd2-11_S35_L001	Pf3D7_14_v3-2020604-2020849-1A	3764	3617	3617
Dd2-11_S35_L001	Pf3D7_14_v3-2260533-2260765-1A	9953	9603	9603
Dd2-11_S35_L001	Pf3D7_14_v3-2355614-2355853-1A	3663	3519	3519
Dd2-11_S35_L001	Pf3D7_14_v3-2695837-2696082-1A	3056	2950	2950
Dd2-11_S35_L001	Pf3D7_14_v3-2733345-2733593-1A	3471	3321	3321
Dd2-11_S35_L001	Pf3D7_14_v3-2858894-2859160-1A	2183	2106	2106
Dd2-11_S35_L001	Pf3D7_14_v3-3124416-3124655-1A	5663	5448	5448
Dd2-11_S35_L001	Pf3D7_14_v3-3125801-3126073-1A	1251	1202	1202
Dd2-11_S35_L001	Pf3D7_14_v3-3214249-3214516-1A	2494	2390	2390
Dd2-11_S35_L001	PKNH_12_v2-198869-199113-1AB	0	0	0
Dd2-11_S35_L001	Pf3D7_13_v3-1041593-1041860-1AB	2322	2230	2230
Dd2-11_S35_L001	PmUG01_12_v1-1397996-1398245-1AB	0	0	0
Dd2-11_S35_L001	PocGH01_12_v1-1106456-1106697-1AB	0	0	0
Dd2-11_S35_L001	PvP01_12_v1-1184983-1185208-1AB	0	0	0
Dd2-11_S35_L001	Pf3D7_08_v3-1365709-1365954-1B	1987	1907	1907
Dd2-11_S35_L001	Pf3D7_08_v3-1366626-1366856-1B	1	1	1
Dd2-11_S35_L001	Pf3D7_08_v3-1370603-1370853-1B	0	0	0
Dd2-11_S35_L001	Pf3D7_08_v3-1375025-1375284-1B	88	76	76
